year,country,case_name,court,complaining_work,defending_work,complaining_author,defending
1844,US,Millett v. Snowden,C.C.S.D.N.Y.,The Cot Beneath the Hill,The Cot Beneath the Hill,W.J. Wetmore,W. J. Wetmore
1845,US,Reed v. Carusi,C.C. Md.,The Old Arm Chair,The Old Arm Chair,Henry Russell,Samuel Carusi
1846,US,Ferrett v. Atwill,S.D.N.Y.,"""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""",,"Michael Balfe, arranged by Francis Brown",
1850,US,Jollie v. Jacques,C.C.S.D.N.Y.,Serious Family Polka,Serious Family Polka,Anonymous,Anonymous
1887,US,Blume v. Spear,C.C.S.D.N.Y.,My Own Sweet Darling,Call Me Back Again,Fannie Beane,W.D.Hendrickson
1888,US,Kennedy v. McTammanay,C.C.D. Mass.,Cradle’s Empty Baby’s Gone,,Harry Kennedy,
1898,US,Broder v. Zeno Mauvais Music Co.,C.C.N.D. Cal.,Dora Dean,Ma Angeline,Bert A. Williams,Charles Sidney O'Brien
1899,UK,Boosey v. Whight,Ch. D.,"""My Lady's Bower""",,"Alice M. Davis (""Hope Temple"") and Frederick Wetherley",Player piano rolls produced by defendant Whight
1907,US,White-Smith Music v. Apollo Company,Supreme Court,Kentucky Babe,Little Cotton Dolly,Adam Geibel,Adam Geibel
1914,US,Cooper v. James,N.D. Ga.,Never Turn Back,Never Turn Back,W.M.Cooper,Joseph James
1915,US,Boosey v. Empire Music,S.D.N.Y.,I Hear You Calling Me,"Tennessee, I Hear You Calling Me",Charles Marshall,Jeff Godfrey
1916,US,Haas v. Leo Feist,S.D.N.Y.,You Will Never Know ...,I Didn't Raise My Boy to be a Soldier,William Cahalin,Al Piantadosi
1917,US,Hart v. Graham,N.D. Ill.,Livery Stable Blues,,"Alcide Nunez, Ray Lopez",
1923,UK,Austin v. Columbia Gramophone Co.,Ch. D.,"Themes from opera ""Polly""","Themes from opera ""Polly""",John Gay,John Gay
1923,US,Hein v. Harris,2d Cir.,Maria Cahill's Arab Love Song,I Think I Hear a Woodpecker,Silvio Hein,Joseph Howard
