0,0,1844,Millett v. Snowden,W.J. Wetmore,The Cot Beneath the Hill,complainer,Henry Russell,The Cot Beneath the Hill,0.7
1,1,1845,Reed v. Carusi,Henry Russell,The Old Arm Chair,complainer,Henry Russell,The Old Arm Chair,0.95
2,2,1846,Ferrett v. Atwill,"Michael Balfe, arranged by Francis Brown","""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""",complainer,Michael Balfe,The Bohemian Girl,0.85
3,3,1850,Jollie v. Jacques,Anonymous,Serious Family Polka,complainer,Gottlieb Muffat,Serious Family Polka,0.3
4,4,1887,Blume v. Spear,Fannie Beane,My Own Sweet Darling,complainer,Fannie Beane,My Own Sweet Darling,0.7
5,5,1888,Kennedy v. McTammanay,Harry Kennedy,Cradle’s Empty Baby’s Gone,complainer,Harry Kennedy,"Cradle's Empty, Baby's Gone",0.8
6,6,1898,Broder v. Zeno Mauvais Music Co.,Bert A. Williams,Dora Dean,complainer,Bert Williams,Dora Dean,0.9
7,7,1899,Boosey v. Whight,"Alice M. Davis (""Hope Temple"") and Frederick Wetherley","""My Lady's Bower""",complainer,Hope Temple,My Lady's Bower,0.85
8,8,1907,White-Smith Music v. Apollo Company,Adam Geibel,Kentucky Babe,complainer,Adam Geibel,Kentucky Babe,0.8
9,9,1914,Cooper v. James,W.M.Cooper,Never Turn Back,complainer,W.M. Cooper,Never Turn Back,0.8
10,10,1915,Boosey v. Empire Music,Charles Marshall,I Hear You Calling Me,complainer,John McCormack,I Hear You Calling Me,0.95
11,11,1916,Haas v. Leo Feist,William Cahalin,You Will Never Know ...,complainer,Albert Von Tilzer,You Will Never Know,0.75
12,12,1917,Hart v. Graham,"Alcide Nunez, Ray Lopez",Livery Stable Blues,complainer,Original Dixieland Jass Band,Livery Stable Blues,0.8
13,13,1923,Austin v. Columbia Gramophone Co.,John Gay,"Themes from opera ""Polly""",complainer,John Gay,Polly,0.8
14,14,1923,Hein v. Harris,Silvio Hein,Maria Cahill's Arab Love Song,complainer,Silvio Hein,Arab Love Song,0.6
15,15,1923,"Marks v. Leo Feist, Inc.",Paul Linke,Wedding Dance Waltzes,complainer,Paul Lincke,Wedding Dance Waltzes,0.8
16,16,1924,"Fred Fisher, Inc. v. Dillingham",Felix Bernard & Johnny Black,Dardanella,complainer,Bennie Krueger and His Orchestra,Dardanella,0.8
17,17,1928,Italian Book Company v. Rossi,Paolo Citorello,Luna Mezzo Mare,complainer,Paolo Citorello,Luna Mezzo Mare,0.95
18,18,1932,Gotham Music v. Denton Music Publishing,Anonymous,St. James' Infirmary,complainer,Louis Armstrong,St. James Infirmary,0.85
19,19,1933,Arnstein v. Shilkret,Ira Arnstein,Light My Life With Love,complainer,Unknown Artist,Light My Life With Love,0.5
20,20,1934,Park v. Warner Brothers,Charles Francis Park,What are Your Intentions?,complainer,Paul Whiteman and His Orchestra,What are Your Intentions?,0.75
21,21,1935,Wilkie v. Santly Brothers,W.A. (Bud) Wilkie,Confessing,complainer,Rudy Vallée,Confessin' (That I Love You),0.8
22,22,1936,Arnstein v. Edward Marks,Ira Arnstein,I Love You Madly,complainer,Ira Arnstein,I Love You Madly,0.7
23,23,1936,Norden v. Oliver Ditson,N. Lindsay Norden (arranger),O Gladsome Light,complainer,Traditional,O Gladsome Light,0.8
