case_id,year,case_name,case_artist,case_title,case_role,gpt_artist,gpt_title,gpt_conf,musicbrainz_id,mb_artist,mb_title,case_status
0,1844,Millett v. Snowden,W.J. Wetmore,The Cot Beneath the Hill,complainer,Henry Russell,The Cot Beneath the Hill,0.7,c0158312-3d92-4772-8e9d-3f2d5ba64ee5,Ray Russell,The Hill,
1,1845,Reed v. Carusi,Henry Russell,The Old Arm Chair,complainer,Henry Russell,The Old Arm Chair,0.95,6744d055-c3de-42e9-8982-755d5fd9653d,Williamson Brothers and Curry,The Old Arm Chair,
2,1846,Ferrett v. Atwill,"Michael Balfe, arranged by Francis Brown","""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""",complainer,Michael Balfe,The Bohemian Girl,0.85,eff2e49a-3df5-452b-8fd9-d7bb51ac7b08,"Yvonne Kenny, Vladimir Kamirski & Melbourne Symphony Orchestra",Balfe: The Bohemian Girl - I Dreamt I Dwelt In Marble Halls,
3,1850,Jollie v. Jacques,Anonymous,Serious Family Polka,complainer,Gottlieb Muffat,Serious Family Polka,0.3,35e09f9e-6d4a-4f23-9325-a5680f6a5f41,Gottlieb Muffat,Suite V in D minor: II. Allemande,
4,1887,Blume v. Spear,Fannie Beane,My Own Sweet Darling,complainer,Fannie Beane,My Own Sweet Darling,0.7,5555e368-6699-4b29-ae8c-efebbe1dcd93,Seth Kallen & Melody Gardot,My Sweet Darling,
5,1888,Kennedy v. McTammanay,Harry Kennedy,Cradle’s Empty Baby’s Gone,complainer,Harry Kennedy,"Cradle's Empty, Baby's Gone",0.8,ce269c45-ea73-4004-a8c9-9d3d893d56bc,Harry Gregson‐Williams,Gone Baby Gone,
6,1898,Broder v. Zeno Mauvais Music Co.,Bert A. Williams,Dora Dean,complainer,Bert Williams,Dora Dean,0.9,9d422570-7b2d-4f83-b642-8ce630729cb6,"Tom, Brad & Alice",Dora Dean,
7,1899,Boosey v. Whight,"Alice M. Davis (""Hope Temple"") and Frederick Wetherley","""My Lady's Bower""",complainer,Hope Temple,My Lady's Bower,0.85,ec50de96-6c83-4364-9542-9f94335b2f6f,Compos Mentis,Lady's Bower,
8,1907,White-Smith Music v. Apollo Company,Adam Geibel,Kentucky Babe,complainer,Adam Geibel,Kentucky Babe,0.8,785acfc8-7b45-459e-84e6-ee77a069a742,Adam Geibel,Called to Serve,
9,1914,Cooper v. James,W.M.Cooper,Never Turn Back,complainer,W.M. Cooper,Never Turn Back,0.8,ab20ad13-4b5f-4a56-b0ca-5fcaacac18a7,Tyree Cooper,We Cannot Turn Back,
10,1915,Boosey v. Empire Music,Charles Marshall,I Hear You Calling Me,complainer,John McCormack,I Hear You Calling Me,0.95,8f60f727-5ae3-442c-a9f5-7260ebf1f787,John McCormack,I Hear You Calling Me,
11,1916,Haas v. Leo Feist,William Cahalin,You Will Never Know ...,complainer,Albert Von Tilzer,You Will Never Know,0.75,f1bd22d6-dcfd-464d-b1f9-7cd1effec56a,Albert Von Tilzer,Apple Blossom Time,
12,1917,Hart v. Graham,"Alcide Nunez, Ray Lopez",Livery Stable Blues,complainer,Original Dixieland Jass Band,Livery Stable Blues,0.8,b50d0f09-c2e1-4962-ac1a-9484ab6f58ce,Original Dixieland ‘Jass’ Band,Livery Stable Blues,
13,1923,Austin v. Columbia Gramophone Co.,John Gay,"Themes from opera ""Polly""",complainer,John Gay,Polly,0.8,5d19df2c-6287-4826-9c96-230e4e6dc0b4,John Gay,"The Beggar's Opera: Act I. Air. ""Pretty Polly, say"" (Macheath, Polly)",
14,1923,Hein v. Harris,Silvio Hein,Maria Cahill's Arab Love Song,complainer,Silvio Hein,Arab Love Song,0.6,17d59778-10ee-4180-adaf-fe6d84d5259e,Ada Jones,Arab Love Song,
15,1923,"Marks v. Leo Feist, Inc.",Paul Linke,Wedding Dance Waltzes,complainer,Paul Lincke,Wedding Dance Waltzes,0.8,2efbc9f0-d272-4347-a449-5524f59007b4,Ross Ainslie,Wedding Waltzes,
16,1924,"Fred Fisher, Inc. v. Dillingham",Felix Bernard & Johnny Black,Dardanella,complainer,Bennie Krueger and His Orchestra,Dardanella,0.8,082b9c15-2619-4d5b-898e-3ed4d5115af2,Bennie Krueger And His Orchestra,I'm So In Love,
17,1928,Italian Book Company v. Rossi,Paolo Citorello,Luna Mezzo Mare,complainer,Paolo Citorello,Luna Mezzo Mare,0.95,c771a656-db62-49ea-a38a-069eeaba66a9,Frank Simms,Luna Mezzo Mare,
18,1932,Gotham Music v. Denton Music Publishing,Anonymous,St. James' Infirmary,complainer,Louis Armstrong,St. James Infirmary,0.85,71a4dcaf-c918-4bb6-bde1-3756ef2197a3,Louis Armstrong,St James Infirmary,
19,1933,Arnstein v. Shilkret,Ira Arnstein,Light My Life With Love,complainer,Unknown Artist,Light My Life With Love,0.5,7d146759-ddba-4b94-a613-75e570e829c6,[unknown],Life Love Light,
20,1934,Park v. Warner Brothers,Charles Francis Park,What are Your Intentions?,complainer,Paul Whiteman and His Orchestra,What are Your Intentions?,0.75,21ed4713-4fa9-405e-9f1e-c2f5b3e2ad58,Paul Whiteman and His Orchestra,Mary (What Are You Waiting For?),
21,1935,Wilkie v. Santly Brothers,W.A. (Bud) Wilkie,Confessing,complainer,Rudy Vallée,Confessin' (That I Love You),0.8,cf5c7ea6-dc17-48a2-baa1-b7b2ffd09746,Rudy Vallée,That's When I Learned to Love You,
22,1936,Arnstein v. Edward Marks,Ira Arnstein,I Love You Madly,complainer,Ira Arnstein,I Love You Madly,0.7,c95e4224-f08b-433f-a6d5-e7e5372ad8bb,Ira B. Liss Big Band Jazz Machine,Love You Madly,
23,1936,Norden v. Oliver Ditson,N. Lindsay Norden (arranger),O Gladsome Light,complainer,Traditional,O Gladsome Light,0.8,db638bfd-5452-4d25-95f8-dd734ae195a3,"West Coast Mennonite Chamber Choir, Tony Funk",Gladsome Light,
24,1937,Hirsch v. Paramount Pictures,Hortense Hirsch,Lady of Love,complainer,Paramount Pictures,Lady of Love,0.4,8a2cc10e-67ec-46f3-b7e3-74bc82d8ea52,Last Autumn’s Dream,Pictures of Love,
25,1939,Arnstein v. ASCAP,Ira Arnstein,Whisper to Me,complainer,Ira Arnstein,Whisper to Me,0.8,1e733cca-a882-46aa-9c85-a52ba0cf6daa,Ira Kaspi,Soft Whisper,
26,1940,Darrell v. Joe Morris Music,Jack Darrell,Does Anybody Want a Little Kewpie,complainer,Benny Goodman,Does Anybody Want a Little Kewpie,0.5,c7073cb5-3aef-4509-b323-5d40a9f259e1,Benny Goodman,I Want A Little Girl,
27,1940,Davilla v. Harms,Joseph Davila,If I were a Spider...,complainer,Joseph Davilla,If I Were a Spider,0.7,fd0fc1e4-e159-4239-8f59-20d5f61ab28c,Joseph Isaacs,If I Were the Wind,
28,1941,Allen v. Walt Disney,Wadsworth Doster,Old Eli,complainer,Wadsworth Doster,Old Eli,0.7,37c76085-88f7-4b26-9b79-8861f0da3b35,Herbie Mann,Eli Eli,
29,1941,Marks v. Stasny,Silvano D. Ramos,Allà en el Rancho Grande,complainer,Jorge Negrete,Allá en el Rancho Grande,0.85,2977ff78-3f05-41f7-ae68-a61416887758,Jorge Negrete,Allá en el Rancho Grande,
30,1942,Carew v. R.K.O. Radio Pictures,Evelyn Carew,Chatterbox,complainer,Evelyn Carew,Chatterbox,0.8,74cfffe3-6eec-446a-8113-6fa00746cb26,Badtown Boys,Chatterbox,
31,1942,McMahon v. Harms,Joseph McMahon,In Sunny Kansas,complainer,Joseph McMahon,In Sunny Kansas,0.8,0a367013-d576-41cd-af51-25446d5e509d,Willi Carlisle,Bright Sunny Kansas,
32,1943,Arnstein v. Broadcast Music,Ira Arnstein,Whisper to Me,complainer,Frank Sinatra,A Sinner Kissed an Angel,0.6,88eae279-dc96-45ad-b810-a326476eea62,Frank Sinatra,A Sinner Kissed an Angel,
33,1943,Arnstein v. Twentieth Century Fox,Ira Arnstein,Kalamazoo,complainer,Glenn Miller and His Orchestra,I've Got a Gal in Kalamazoo,0.8,0106a2b8-4467-44ec-9a4c-77ddf1ab8735,Glenn Miller and His Orchestra,I've Got a Gal in Kalamazoo,
34,1944,"Gingg v. Twentieth Century Fox Film Corp, et al.",Allamae Britton Gingg,There'll Never Be Another You,complainer,Harry Warren and Mack Gordon,There Will Never Be Another You,0.85,9e0ebb40-d135-4a2e-b930-4abd1909299b,Harry Warren & Mack Gordon,There Will Never Be Another You,
35,1944,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,Edward B. Marks,December and May,complainer,Edward B. Marks Music Corporation,December and May,0.8,7d0c8898-3497-4afe-8cbb-1e54fb0e60a6,DJ’TEKINA//SOMETHING feat. シユカ,May and December,
36,1945,Brodsky v. Universal Pictures Company,Samuel Brodsky,Prelude in A Major,complainer,Chopin,"Prelude in A Major, Op. 28, No. 7",0.7,abda6dd4-5116-4822-b670-303fbe73fc89,Frédéric Chopin,"Prelude in A major, Op. 28 No. 7",
37,1945,Jewel Music v. Leo Feist,Louis Ricca,Carnival in Cotton Town,complainer,Louis Ricca,Carnival in Cotton Town,0.8,1bbabbc8-8cb9-4a35-8685-4a5fc22a5b73,Booker T. & the MG’s,Cotton Carnival,
38,1946,Arnstein v. Porter,Ira Arnstein,Modern Messiah,complainer,Ira Arnstein,Modern Messiah,0.7,ee135421-35df-4bc6-afd5-5fa5819d6081,Taken,Modern Messiah,
39,1946,Heim v. Universal Pictures,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,complainer,Zsigmond Vincze,Ma Este Meg Boldog Vagyok,0.85,66e18207-a2d0-44fb-a0d8-cb361dcc399b,Hot Jazz Band,Ma este még boldog vagyok,
40,1948,Baron v. Leo Feist,Lionel Belasco and Massie Patterson,L'Annee Passee,complainer,Lionel Belasco,L'Annee Passee,0.9,c81d195b-cecb-4a2d-85dd-7d0b59f3d594,Calypso Rhythm Kings,L'Année Passée,
41,1948,Kahn v. Leo Feist,Mohammed H. Kahn,Victory Calypsoes,complainer,Lord Invader,Rum and Coca-Cola,0.8,171978d8-6ca1-498e-bd42-b162b4ce29a7,Lord Invader,Rum & Coca Cola,
42,1950,"Shapiro, Bernstein v. Miracle Record",Meade Lewis,Yancey Special,complainer,Meade Lux Lewis,Yancey Special,0.95,5b321017-62b6-4ac2-b6b8-481b4804c35c,Meade Lux Lewis,Yancey Special,
43,1951,Jones v. Supreme Music,Thelma Jones,Just an Old Fashioned Mother and Dad,complainer,Thelma Jones,Just an Old Fashioned Mother and Dad,0.7,4e937217-8488-48b9-93c4-6ed2165fe4da,Jack Jones,I’m Old Fashioned,
44,1952,Northern Music v. King Record Distribution,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,complainer,Jerry Vale,Tonight He Sailed Again,0.7,02bc972b-50e8-4c45-bdaf-53c8ea48a038,Lucky Millinder and His Orchestra,Tonight He Sailed Again,
45,1953,Overman v. Loesser,Robert Overman,Wonderful You,complainer,Frank Loesser,Wonderful You,0.5,ac34db81-b8dd-4d98-b285-84a96d4fe0dc,Frank Loesser,Wonderful Copenhagen,
46,1954,Robbins v. Alamo,Walter Schumann,"Theme for TV show ""Dragnet""",complainer,Walter Schumann,Dragnet,0.95,0039b5cc-6125-4a77-8973-259249b467d6,Walter Schumann,Dragnet,
47,1954,Mills Music v. Cromwell Music,Issachar Miron & Julius Grossman,"Tzena, Tzena",complainer,The Weavers,"Tzena, Tzena, Tzena",0.9,18d55144-afee-43a4-8b53-ab66502a27f3,The Weavers,Tzena Tzena Tzena,
