pair_id,original_midi_path,plagiarised_midi_path
1,plagdet/data/synthetic_dataset/pairs/original\original_1.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_1.mid
2,plagdet/data/synthetic_dataset/pairs/original\original_2.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_2.mid
3,plagdet/data/synthetic_dataset/pairs/original\original_3.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_3.mid
4,plagdet/data/synthetic_dataset/pairs/original\original_4.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_4.mid
5,plagdet/data/synthetic_dataset/pairs/original\original_5.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_5.mid
6,plagdet/data/synthetic_dataset/pairs/original\original_6.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_6.mid
8,plagdet/data/synthetic_dataset/pairs/original\original_8.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_8.mid
9,plagdet/data/synthetic_dataset/pairs/original\original_9.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_9.mid
10,plagdet/data/synthetic_dataset/pairs/original\original_10.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_10.mid
11,plagdet/data/synthetic_dataset/pairs/original\original_11.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_11.mid
12,plagdet/data/synthetic_dataset/pairs/original\original_12.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_12.mid
13,plagdet/data/synthetic_dataset/pairs/original\original_13.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_13.mid
14,plagdet/data/synthetic_dataset/pairs/original\original_14.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_14.mid
15,plagdet/data/synthetic_dataset/pairs/original\original_15.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_15.mid
16,plagdet/data/synthetic_dataset/pairs/original\original_16.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_16.mid
17,plagdet/data/synthetic_dataset/pairs/original\original_17.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_17.mid
18,plagdet/data/synthetic_dataset/pairs/original\original_18.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_18.mid
19,plagdet/data/synthetic_dataset/pairs/original\original_19.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_19.mid
20,plagdet/data/synthetic_dataset/pairs/original\original_20.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_20.mid
21,plagdet/data/synthetic_dataset/pairs/original\original_21.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_21.mid
22,plagdet/data/synthetic_dataset/pairs/original\original_22.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_22.mid
23,plagdet/data/synthetic_dataset/pairs/original\original_23.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_23.mid
24,plagdet/data/synthetic_dataset/pairs/original\original_24.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_24.mid
25,plagdet/data/synthetic_dataset/pairs/original\original_25.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_25.mid
26,plagdet/data/synthetic_dataset/pairs/original\original_26.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_26.mid
27,plagdet/data/synthetic_dataset/pairs/original\original_27.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_27.mid
28,plagdet/data/synthetic_dataset/pairs/original\original_28.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_28.mid
29,plagdet/data/synthetic_dataset/pairs/original\original_29.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_29.mid
30,plagdet/data/synthetic_dataset/pairs/original\original_30.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_30.mid
31,plagdet/data/synthetic_dataset/pairs/original\original_31.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_31.mid
32,plagdet/data/synthetic_dataset/pairs/original\original_32.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_32.mid
33,plagdet/data/synthetic_dataset/pairs/original\original_33.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_33.mid
34,plagdet/data/synthetic_dataset/pairs/original\original_34.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_34.mid
35,plagdet/data/synthetic_dataset/pairs/original\original_35.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_35.mid
36,plagdet/data/synthetic_dataset/pairs/original\original_36.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_36.mid
37,plagdet/data/synthetic_dataset/pairs/original\original_37.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_37.mid
38,plagdet/data/synthetic_dataset/pairs/original\original_38.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_38.mid
39,plagdet/data/synthetic_dataset/pairs/original\original_39.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_39.mid
40,plagdet/data/synthetic_dataset/pairs/original\original_40.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_40.mid
41,plagdet/data/synthetic_dataset/pairs/original\original_41.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_41.mid
42,plagdet/data/synthetic_dataset/pairs/original\original_42.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_42.mid
43,plagdet/data/synthetic_dataset/pairs/original\original_43.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_43.mid
44,plagdet/data/synthetic_dataset/pairs/original\original_44.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_44.mid
45,plagdet/data/synthetic_dataset/pairs/original\original_45.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_45.mid
46,plagdet/data/synthetic_dataset/pairs/original\original_46.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_46.mid
47,plagdet/data/synthetic_dataset/pairs/original\original_47.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_47.mid
48,plagdet/data/synthetic_dataset/pairs/original\original_48.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_48.mid
49,plagdet/data/synthetic_dataset/pairs/original\original_49.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_49.mid
50,plagdet/data/synthetic_dataset/pairs/original\original_50.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_50.mid
