musicbrainz_id,case_artist,case_title,case_role,case_status,mb_artist,mb_title,case_id
d38e9f6a-1720-4584-ae0c-d03adfe03c8a,W.J. Wetmore,The Cot Beneath the Hill,complainer,,Azure Blue,Beneath the Hill,0
467a2a56-8514-4d58-9f1e-7cbcb173d241,Henry Russell,The Old Arm Chair,complainer,,Hylo Brown,The Old Arm Chair,1
36d30e3d-88d7-4488-a870-08a2f5efaa2f,"Michael Balfe, arranged by Francis Brown","""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""",complainer,,Lorne Balfe,Main Theme (Lorne Balfe),2
99ebbdba-5ae6-4bd6-9d1d-f829d90d196f,Anonymous,Serious Family Polka,complainer,,Polka Family,Clarinet Polka,3
5555e368-6699-4b29-ae8c-efebbe1dcd93,Fannie Beane,My Own Sweet Darling,complainer,,Seth Kallen & Melody Gardot,My Sweet Darling,4
ce269c45-ea73-4004-a8c9-9d3d893d56bc,Harry Kennedy,Cradle’s Empty Baby’s Gone,complainer,,Harry Gregson‐Williams,Gone Baby Gone,5
174a8b21-c778-4432-b060-2f847dae2e7b,Bert A. Williams,Dora Dean,complainer,,Skillet Licorice,Dora Dean,6
ec50de96-6c83-4364-9542-9f94335b2f6f,"Alice M. Davis (""Hope Temple"") and Frederick Wetherley","""My Lady's Bower""",complainer,,Compos Mentis,Lady's Bower,7
785acfc8-7b45-459e-84e6-ee77a069a742,Adam Geibel,Kentucky Babe,complainer,,Adam Geibel,Called to Serve,8
78e586c5-cef0-4181-be24-d062fd28118c,W.M.Cooper,Never Turn Back,complainer,,Ralph Stanley & The Clinch Mountain Boys,"Turn Back, Turn Back",9
b3e6cb1f-55f1-4269-9ae0-b9bc80246aa2,Charles Marshall,I Hear You Calling Me,complainer,,Charles Harrison,I Hear You Calling Me,10
a0a18d16-1bc9-4c7b-a51a-852f89050458,William Cahalin,You Will Never Know ...,complainer,,Human Weapon,... You Will Never Know,11
b8f7ab08-5ec8-4a61-a5af-e36bbff5b988,"Alcide Nunez, Ray Lopez",Livery Stable Blues,complainer,,Bunny Berigan and His Orchestra,Livery Stable Blues,12
5d19df2c-6287-4826-9c96-230e4e6dc0b4,John Gay,"Themes from opera ""Polly""",complainer,,John Gay,"The Beggar's Opera: Act I. Air. ""Pretty Polly, say"" (Macheath, Polly)",13
36b7bcde-234e-4774-a212-491a8200dda2,Silvio Hein,Maria Cahill's Arab Love Song,complainer,,Billy Murray,Arab Love Song,14
2efbc9f0-d272-4347-a449-5524f59007b4,Paul Linke,Wedding Dance Waltzes,complainer,,Ross Ainslie,Wedding Waltzes,15
a27257b9-7b31-4f4b-9edc-7a3526cc3107,Felix Bernard & Johnny Black,Dardanella,complainer,,Felix Bernard & Johnny Black,Dardanella,16
36e2150e-2451-40fc-a815-487c595f354a,Paolo Citorello,Luna Mezzo Mare,complainer,,Dean Martin,Luna Mezzo Mare,17
5e226ea5-d555-4a7f-973b-6ffb7c923035,Anonymous,St. James' Infirmary,complainer,,Charles Atkins & The Blues Boys,James Infirmary,18
eab3870e-ebf0-45ea-84bd-2e3db1ac2abb,Ira Arnstein,Light My Life With Love,complainer,,Ira Losco,My Life,19
65d73d9a-a893-465f-a4f4-96da9c76fcc1,Charles Francis Park,What are Your Intentions?,complainer,,Candis Francis,Good Intentions,20
4b53aa84-37d6-44ce-9a35-11f45f8bfa99,W.A. (Bud) Wilkie,Confessing,complainer,,Lester Flatt & Earl Scruggs,Confessing,21
c95e4224-f08b-433f-a6d5-e7e5372ad8bb,Ira Arnstein,I Love You Madly,complainer,,Ira B. Liss Big Band Jazz Machine,Love You Madly,22
b0cc3ad5-a566-4221-9200-75e33571b08e,N. Lindsay Norden (arranger),O Gladsome Light,complainer,,St. Petersburg Chamber Choir,O Gladsome Light,23
2524633f-c0d2-473d-ba06-6800489afb6e,Hortense Hirsch,Lady of Love,complainer,,Hortense Ellis,Groovy Kind of Love,24
1e733cca-a882-46aa-9c85-a52ba0cf6daa,Ira Arnstein,Whisper to Me,complainer,,Ira Kaspi,Soft Whisper,25
2ccf5554-72ce-4127-abff-e47fb5000937,Jack Darrell,Does Anybody Want a Little Kewpie,complainer,,Nudge Squidfish,Does Anybody Want A Little Love?,26
fd0fc1e4-e159-4239-8f59-20d5f61ab28c,Joseph Davila,If I were a Spider...,complainer,,Joseph Isaacs,If I Were the Wind,27
37c76085-88f7-4b26-9b79-8861f0da3b35,Wadsworth Doster,Old Eli,complainer,,Herbie Mann,Eli Eli,28
1da73cc4-c6f6-4aef-8c60-43fba6dd5f96,Silvano D. Ramos,Allà en el Rancho Grande,complainer,,Joan Blasco,Allá en el rancho grande,29
74cfffe3-6eec-446a-8113-6fa00746cb26,Evelyn Carew,Chatterbox,complainer,,Badtown Boys,Chatterbox,30
0a367013-d576-41cd-af51-25446d5e509d,Joseph McMahon,In Sunny Kansas,complainer,,Willi Carlisle,Bright Sunny Kansas,31
1e733cca-a882-46aa-9c85-a52ba0cf6daa,Ira Arnstein,Whisper to Me,complainer,,Ira Kaspi,Soft Whisper,32
5f8d76bf-16f1-4d31-b93e-393fe493aa88,Ira Arnstein,Kalamazoo,complainer,,Glenn Miller,Kalamazoo,33
019ad5e5-5b52-405f-921b-6ab05b450b6a,Allamae Britton Gingg,There'll Never Be Another You,complainer,,Anita O’Day,There'll Never Be Another You,34
b49f1794-cd99-440c-884e-aa8a470d260b,Edward B. Marks,December and May,complainer,,Ian McNabb,May and December,35
300f1a38-72e0-45d8-855a-7a9050545002,Samuel Brodsky,Prelude in A Major,complainer,,Brodsky Quartet,Prelude,36
167065fa-2056-4ce0-a564-1d40de004784,Louis Ricca,Carnival in Cotton Town,complainer,,Bill Black's Combo,Cotton Carnival,37
084604cb-ebd5-4a03-a9a5-c6afa6076ee8,Ira Arnstein,Modern Messiah,complainer,,One Fine Day,Modern Messiah,38
66e18207-a2d0-44fb-a0d8-cb361dcc399b,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,complainer,,Hot Jazz Band,Ma este még boldog vagyok,39
c81d195b-cecb-4a2d-85dd-7d0b59f3d594,Lionel Belasco and Massie Patterson,L'Annee Passee,complainer,,Calypso Rhythm Kings,L'Année Passée,40
b0cc40d1-a127-4bdc-8d02-27e6cb0f5ed8,Mohammed H. Kahn,Victory Calypsoes,complainer,,Thomas Kahn,Victory,41
00b156c2-3b64-4f4a-80a9-0150f7e9d2e5,Meade Lewis,Yancey Special,complainer,,Meade Lux Lewis,Yancey Special,42
4e937217-8488-48b9-93c4-6ed2165fe4da,Thelma Jones,Just an Old Fashioned Mother and Dad,complainer,,Jack Jones,I’m Old Fashioned,43
02bc972b-50e8-4c45-bdaf-53c8ea48a038,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,complainer,,Lucky Millinder and His Orchestra,Tonight He Sailed Again,44
4a59d8b1-5bb9-44ef-9e19-8d35124712b3,Robert Overman,Wonderful You,complainer,,Overman,I Don't Need You,45
0039b5cc-6125-4a77-8973-259249b467d6,Walter Schumann,"Theme for TV show ""Dragnet""",complainer,,Walter Schumann,Dragnet,46
75447565-46d4-475c-aeb5-8ee968fc78f7,Issachar Miron & Julius Grossman,"Tzena, Tzena",complainer,,Joe & Eddie,"Tzena, Tzena, Tzena",47
6f37eed1-00b9-4f72-95f3-448b72d27063,Donald Irwin Robertson,The Happy Whistler,complainer,,Don Robertson,Happy Whistler,48
