musicbrainz_id,case_artist,mb_artist,case_title,mb_title,case_role,case_status,case_id,correct_match
8519fb07-36f8-48a8-909d-0a19e1258130,Snowblind,Snowblind,Rockstar,Lost in Dreams,complainer,,347,0
7b4a20cb-3aa6-47bb-bbe0-e9f1341ddec3,Nickelback,Nickelback,Rockstar,Rockstar,defendant,,347,1
a51fd90b-f80d-4a14-bd81-3ec61642a6bd,Greg Perry,Greg Perry,Come On Down,Come on Down,complainer,,346,1
7ef44b5d-86a7-4d3f-b91e-c83479dc517c,Roddy Ricch,Roddy Ricch,The Box,The Box,defendant,,346,1
0d11433a-6d42-410e-a913-622652a6b678,Duvall Chamberlain,Chamberlain,In That Mood,That Was the Best,complainer,,345,0
c4037fea-5682-4a37-a56d-7e598221160a,Isis Naija Gaston a/k/a Ice Spice,Ice Spice,In Ha Mood,In Ha Mood,defendant,,345,1
de4785b6-85bd-4e9b-a8c2-59fc8611c9f8,"Concord Music, Universal Music Group and ABKCO Music",Kichwa's Native Music,,Qapaq Ñan,complainer,,344,0
645ee6d1-befa-4382-8715-1682f1b3766e,Anthropic PBC,PBC,,Macro-Mutos,defendant,,344,0
cb087dcf-d088-44e7-be10-ef35582802d7,Obrafour,Larry Achiampong,Oye Ohene,OHENE,complainer,,343,0
6215f3e0-2003-4852-9512-483d2560ee3e,Drake,Drake,Calling My Name,Calling My Name,defendant,,343,1
bfb4f673-c2f6-4a7f-bcee-28544cdb4f23,"Patrick Simmons p/k/a ""Havyn""",Patrick Cowley,Somebody Tonight,Somebody To Love Tonight,complainer,,342,0
cf914f88-ac11-4202-9c38-a65053110177,"Zayn Malik p/k/a ""Zayn""",ZAYN,Better,Better,defendant,,342,1
b778eec5-8269-4542-8a92-628ec7e9f250,"Andy Stone, AKA Vinnie Vance",Doug Stone,All I Want for Christmas is You,All I Want For Christmas Is You,complainer,,341,0
a6fab057-cf3a-4456-950e-d3edaf219326,Mariah Carey,Mariah Carey,All I Want for Christmas is You,All I Want for Christmas Is You,defendant,,341,1
9f5e394c-3d65-434c-b356-e31a0f138c9d,Rick Astley,Walt Ribeiro,Never Gonna Give You Up,Rick Astley 'Never Gonna Give You Up',complainer,,340,0
a6b174f1-20f3-449d-b973-716ac4f66bc5,Yung Gravy,Yung Gravy,Betty (Get Money),Betty (Get Money),defendant,,340,1
07a4a98a-b6b2-4dab-967d-3469e5d46ec1,Sofi Tukker,"Sofi Tukker ft. NERVO, The Knocks & Alisa Ueno",Best Friend,Best Friend (Sofi Tukker Carnival remix),complainer,,339,0
c1c9571a-39f1-4c11-92e2-21439399f44b,Evenflo,Warne Marsh,Ad Background Music,Background Music,defendant,,339,
52a908d9-cc78-48e8-bedd-28dbd435e709,"Jordan Vincent, Christopher Miranda",Clear Static,Dancing with Strangers,Dancing With Strangers,complainer,,338,
aa243e48-c9f6-4753-8b42-b2342bb8988b,"Sam Smith, Normani",Sam Smith & Normani,Dancing with a Stranger,Dancing With a Stranger,defendant,,338,
8c76570b-e5a4-4082-82e0-f7e36735a0bb,Daniel Grigson,Daniel Isen,That Girl,That Girl,complainer,,337,
15cc1beb-4c35-4c4b-85ef-3df5410d4e37,Kristen Anderson Lopez,Kristen Anderson‐Lopez & Robert Lopez,Some Things Never Change,Some Things Never Change,defendant,,337,
