song_id,artist,title
0,Michael Balfe,The Bohemian Girl
1,Francis Brown,Alethia Waltz
2,Fannie Beane,My Own Sweet Darling
3,W.D. Hendrickson,Call Me Back Again
4,Harry Kennedy,"Cradle's Empty, Baby's Gone"
5,John McTammany,"Cradle's Empty, Baby's Gone"
6,Bert A. Williams,Dora Dean
7,Charles Sidney O'Brien,Ma Angeline
8,Adam Geibel,Kentucky Babe
9,Adam Geibel,Little Cotton Dolly
10,Charles Marshall,I Hear You Calling Me
11,Jeff Godfrey,"Tennessee, I Hear You Calling Me"
12,William Cahalin,You Will Never Know How Much I Really Cared
13,Al Piantadosi,I Didn't Raise My Boy to be a Soldier
14,Silvio Hein,Maria Cahill's Arab Love Song
15,Joseph Howard,I Think I Hear a Woodpecker
16,Paul Linke,Wedding Dance Waltz
17,H. Pitman Clarke,Swanee River Moon
18,Felix Bernard & Johnny Black,Dardanella
19,Jerome Kern,Ka-lu-a
20,Paolo Citorello,Luna Mezzo Mare
21,A. A. Galasso,Mamma Mia M'ha Maritan
22,Ira Arnstein,Light My Life With Love
23,Nathaniel Shilkret,Lady Divine
24,W.A. (Bud) Wilkie,Confessing
25,Bernice Petkere,Starlight
26,Ira Arnstein,I Love You Madly
27,Emery Deutsch and Arthur Altman,"Play, Fiddle, Play"
28,Hortense Hirsch,Lady of Love
29,Harry Revel,Without a Word of Warning
30,Ira Arnstein,Whisper to Me
31,Joe Burke,My Wishing Song
32,Jack Darrell,Does Anybody Want a Little Kewpie
33,"Sherman, Meskill, and Silver",On the Beach at Bali-Bali
34,Joseph Davila,If I Were a Spider and You Were My Fly
35,Sigmund Romberg,Desert Song
36,Wadsworth Doster,Old Eli
37,Frank Churchill,Some Day My Prince Will Come
38,Joseph McMahon,In Sunny Kansas
39,John Openshaw,Love Sends A Little Gift of Roses
40,Hy Zaret et al.,It All Comes Back to Me Now
41,Ira Arnstein,Kalamazoo
42,Harry Warren,I've Got a Gal in Kalamazoo
43,Allamae Britton Gingg,There'll Never Be Another You
44,Mack Gordon and Harry Warren,There Will Never Be Another You
45,Samuel Brodsky,Prelude in A Major
46,Hans Salter,Bad Lands of Dakota
47,Louis Ricca,Carnival in Cotton Town
48,Roger Edens,Drummer Boy
49,Ira Arnstein,Modern Messiah
50,Cole Porter,Don't Fence Me In
51,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok
52,Aldo Franchetti,Perhaps
53,Lionel Belasco,L'Annee Passee
54,The Andrews Sisters,Rum and Coca-Cola
55,Mohammed H. Kahn,Victory Calypsoes
56,Leo Feist,Rum and Coca-Cola
57,Meade Lewis,Yancey Special
58,Alphonso Tompkins and Lewis Simpkins,Long Gone
59,Thelma Jones,Just an Old Fashioned Mother and Dad
60,Francis Craig,Near You
61,Guy B. Wood and Sol Marcus,Tonight He Sailed Again
62,Henry B. Glover,"I Love You, Yes I Do"
63,Robert Overman,Wonderful You
64,Frank Loesser,On a Slow Boat to China
65,Donald Irwin Robertson,The Happy Whistler
66,San Francisco Brewing Company,Commercial jingle for Burgermeister Beer
67,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight
68,Lew Williams (Jan Kaczmarek),While We Dream
69,Fred Spielman,Rendezvous
70,Charles Green,I Dreamed
71,Lionel Walters,Iron Bar
72,Lord Burgess,Jamaica Farewell
73,Mabel Wayne,In a Little Spanish Town
74,Peter de Angelis,Why
75,Irving Berlin,A Pretty Girl is Like a Melody
76,Mad Magazine,Louella Schwartz Describes Her Malady
