case_id,year,country,case_name,link,court,complaining_work,complaining_author,defending_work,defending
0,1844,US,Millett v. Snowden,https://blogs.law.gwu.edu/mcir/case/millett-v-snowden/,C.C.S.D.N.Y.,The Cot Beneath the Hill,W.J. Wetmore,The Cot Beneath the Hill,W. J. Wetmore
1,1845,US,Reed v. Carusi,https://blogs.law.gwu.edu/mcir/case/reed-v-carusi/,C.C. Md.,The Old Arm Chair,Henry Russell,The Old Arm Chair,Samuel Carusi
2,1846,US,Ferrett v. Atwill,https://blogs.law.gwu.edu/mcir/case/ferrett-v-atwill/,S.D.N.Y.,"""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""","Michael Balfe, arranged by Francis Brown",,
3,1850,US,Jollie v. Jacques,https://blogs.law.gwu.edu/mcir/case/jollie-v-jacques/,C.C.S.D.N.Y.,Serious Family Polka,Anonymous,Serious Family Polka,Anonymous
4,1887,US,Blume v. Spear,https://blogs.law.gwu.edu/mcir/case/blume-v-spear/,C.C.S.D.N.Y.,My Own Sweet Darling,Fannie Beane,Call Me Back Again,W.D.Hendrickson
5,1888,US,Kennedy v. McTammanay,https://blogs.law.gwu.edu/mcir/case/kennedy-v-mctammanay/,C.C.D. Mass.,Cradle’s Empty Baby’s Gone,Harry Kennedy,,
6,1898,US,Broder v. Zeno Mauvais Music Co.,https://blogs.law.gwu.edu/mcir/case/broder-v-zeno-mauvais-music-co/,C.C.N.D. Cal.,Dora Dean,Bert A. Williams,Ma Angeline,Charles Sidney O'Brien
7,1899,UK,Boosey v. Whight,https://blogs.law.gwu.edu/mcir/case/boosey-v-whight/,Ch. D.,"""My Lady's Bower""","Alice M. Davis (""Hope Temple"") and Frederick Wetherley",,Player piano rolls produced by defendant Whight
8,1907,US,White-Smith Music v. Apollo Company,https://blogs.law.gwu.edu/mcir/case/white-smith-music-publishing-company-v-apollo-company/,Supreme Court,Kentucky Babe,Adam Geibel,Little Cotton Dolly,Adam Geibel
9,1914,US,Cooper v. James,https://blogs.law.gwu.edu/mcir/case/cooperjames/,N.D. Ga.,Never Turn Back,W.M.Cooper,Never Turn Back,Joseph James
10,1915,US,Boosey v. Empire Music,https://blogs.law.gwu.edu/mcir/case/booseyempire/,S.D.N.Y.,I Hear You Calling Me,Charles Marshall,"Tennessee, I Hear You Calling Me",Jeff Godfrey
11,1916,US,Haas v. Leo Feist,https://blogs.law.gwu.edu/mcir/case/haas-v-leo-feist/,S.D.N.Y.,You Will Never Know ...,William Cahalin,I Didn't Raise My Boy to be a Soldier,Al Piantadosi
12,1917,US,Hart v. Graham,https://blogs.law.gwu.edu/mcir/case/hart-v-graham/,N.D. Ill.,Livery Stable Blues,"Alcide Nunez, Ray Lopez",,
13,1923,UK,Austin v. Columbia Gramophone Co.,https://blogs.law.gwu.edu/mcir/case/austin-v-columbia-gramophone-co/,Ch. D.,"Themes from opera ""Polly""",John Gay,"Themes from opera ""Polly""",John Gay
14,1923,US,Hein v. Harris,https://blogs.law.gwu.edu/mcir/case/hein-v-harris/,2d Cir.,Maria Cahill's Arab Love Song,Silvio Hein,I Think I Hear a Woodpecker,Joseph Howard
15,1923,US,"Marks v. Leo Feist, Inc.",https://blogs.law.gwu.edu/mcir/case/marks-v-leo-feist-inc/,2d Cir.,Wedding Dance Waltzes,Paul Linke,Swanee River Moon,H. Pitman Clarke
16,1924,US,"Fred Fisher, Inc. v. Dillingham",https://blogs.law.gwu.edu/mcir/case/fred-fisher-inc-v-dillingham/,S.D.N.Y.,Dardanella,Felix Bernard & Johnny Black,Ka-lu-a,Jerome Kern
17,1928,US,Italian Book Company v. Rossi,https://blogs.law.gwu.edu/mcir/case/italian-book-company-v-rossi/,S.D.N.Y.,Luna Mezzo Mare,Paolo Citorello,Mamma Mia M'ha Maritan,A. A.Galasso
18,1932,US,Gotham Music v. Denton Music Publishing,https://blogs.law.gwu.edu/mcir/case/gotham-music-service-v-denton-music-publishing-co/,N.Y. Ct. App.,St. James' Infirmary,Anonymous,St. James' Infirmary or Gambler's Blues,Anonymous
19,1933,US,Arnstein v. Shilkret,https://blogs.law.gwu.edu/mcir/case/arnsteinshilkret/,S.D.N.Y.,Light My Life With Love,Ira Arnstein,Lady Divine,Nathaniel Shilkret
20,1934,US,Park v. Warner Brothers,https://blogs.law.gwu.edu/mcir/case/park-v-warner-brothers/,S.D.N.Y.,What are Your Intentions?,Charles Francis Park,What are Your Intentions?,"Harry Warren, Al Dubin"
21,1935,US,Wilkie v. Santly Brothers,https://blogs.law.gwu.edu/mcir/case/wilkie-v-santly-brothers/,S.D.N.Y.,Confessing,W.A. (Bud) Wilkie,Starlight,Bernice Petkere
22,1936,US,Arnstein v. Edward Marks,https://blogs.law.gwu.edu/mcir/case/arnstein-v-edward-b-marks-music-corp/,2d Cir.,I Love You Madly,Ira Arnstein,"Play, Fiddle, Play",Emery Deutsch and Arthur Altman
23,1936,US,Norden v. Oliver Ditson,https://blogs.law.gwu.edu/mcir/case/norden-v-oliver-ditson/,D. Mass.,O Gladsome Light,N. Lindsay Norden (arranger),O Gladsome Light,Anonymous arranger
24,1937,US,Hirsch v. Paramount Pictures,https://blogs.law.gwu.edu/mcir/case/hirsch-v-paramount-pictures/,S.D. Cal.,Lady of Love,Hortense Hirsch,Without a Word of Warning,Harry Revel
25,1939,US,Arnstein v. ASCAP,https://blogs.law.gwu.edu/mcir/case/arnstein-v-ascap/,S.D.N.Y.,Whisper to Me,Ira Arnstein,My Wishing Song,Joe Burke
26,1940,US,Darrell v. Joe Morris Music,https://blogs.law.gwu.edu/mcir/case/darrell-v-joe-morris-music/,2d Cir.,Does Anybody Want a Little Kewpie,Jack Darrell,On the Beach at Bali-Bali,"Sherman, Meskill, and Silver"
27,1940,US,Davilla v. Harms,https://blogs.law.gwu.edu/mcir/case/davilla-v-harms/,S.D.N.Y.,If I were a Spider...,Joseph Davila,Desert Song,Sigmund Romberg
