case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,pair_evidence,is_melodic_comparison,melodic_evidence,was_case_won,case_won_evidence
2,Michael Balfe,The Bohemian Girl,"opera The Bohemian Girl, by Irish composer Michael Balfe",Francis Brown and Morgan Atwill,Alethia Waltz,"""Alethia Waltz"" was derived from Balfe's aria ""'Twere Vain to Tell Thee all I Feel""",Atwill’s score notes that the “Alethia Waltz” was derived from Balfe’s aria “’Twere Vain to Tell Thee all I Feel”,True,given the simplicity of the “Alethia Waltz” and its complete dependence upon Balfe’s melody,True,His claim against Ferrett ultimately succeeded because the court accepted Atwill’s claim that he participated substantially in the creation of Brown’s musical arrangement.
4,Fannie Beane,My Own Sweet Darling,infringement by the publication and sale of a song with music entitled “Call Me Back Again.”,W.D. Hendrickson,Call Me Back Again,"The Court correctly observes that the music of defendant’s “Call Me Back Again” maps closely that of plaintiff’s “My Own Sweet Darling"".",The theme or melody of the music is substantially the same in the copyrighted and the alleged infringing pieces.,True,The theme or melody of the music is substantially the same in the copyrighted and the alleged infringing pieces.,True,"Let there be a decree making the preliminary injunction permanent, and for an account of profits, with costs."
5,Harry Kennedy,"Cradle's Empty, Baby's Gone","an unauthorized roll of Kennedyâs 1880 sentimental song, âCradleâs Empty, Babyâs Gone.",John McTammany,,creating an unauthorized roll of Kennedyâs 1880 sentimental song,McTammany had committed copyright infringement by recording another roll of the same song.,False,McTammany claimed that a piano roll did not constitute a copy of Kennedyâs copyrighted sheet music.,False,unfavorable decision that a piano roll did not constitute a copy and therefore no infringement could have occurred
6,Bert A. Williams,Dora Dean,"‘Dora Dean,’ alleged to have been composed by Bert A. Williams",Charles Sidney O'Brien,Ma Angeline,"‘Ma Angeline,’ alleged to have been composed by Charles Sidney O’Brien",It is conceded that the melody of the two songs is substantially the same.,True,the melody of the two songs is substantially the same,False,yet they are not entitled to a copyright of the song with the objectionable word in the composition.
7,Hope Temple,My Lady's Bower,"complaining work: ""My Lady's Bower""",Whight (Defendant),Player piano rolls,defending: Player piano rolls produced by defendant Whight,"complaining work: ""My Lady's Bower"", defending: Player piano rolls",False,,False,
8,Adam Geibel,Kentucky Babe,The two musical compositions in dispute “Kentucky Babe” and “Little Cotton Dolly” had originally been published as sheet music.,Adam Geibel,Little Cotton Dolly,The two musical compositions in dispute “Kentucky Babe” and “Little Cotton Dolly” had originally been published as sheet music.,"The appellant, as assignee of Adam Geibel, alleged compliance with the copyright act.",True,The testimony discloses that certain of these rolls...reproduce in sound the melody recorded in the two pieces of music copyrighted.,False,The decrees of the Circuit Court of Appeals are Affirmed.
10,Charles Marshall,I Hear You Calling Me,complaining_work: I Hear You Calling Me,Jeff Godfrey,"Tennessee, I Hear You Calling Me","defending_work: Tennessee, I Hear You Calling Me",,False,,False,
11,William Cahalin,You Will Never Know,the leading theme of the plaintiff’s song is repeated literally from a chorus of Pinafore,Al Piantadosi,I Didn't Raise My Boy to be a Soldier,defendant’s song enjoyed widespread popularity,Judge Learned Hand drew lines connecting identical pitches occurring at the same points in the two tunes.,True,parallelism which seemed to [his] ear to pass the bounds of mere accident,True,a decree for an accounting of profits will go against both defendants
12,Alcide Nunez and Ray Lopez,Livery Stable Blues,"Nunez and Lopez to publish, and copyright, sheet music, titled 'Livery Stable Blues,'",Dominic 'Nick' LaRocca,More Power Blues,"Plaintiffs claimed that the song was LaRocca’s own composition, the Defendants argued that the song derived from a pre-existing one, titled 'More Power Blues,'","The court is satisfied, from having looked over the manuscripts, that there is a very decided resemblance between the aria – the melody of 'More Power Blues' and the Livery Stable Blues.",True,"The only question is, has there been a conceived idea of the melody that runs through this so-called Livery Stable Blues.",False,"The finding of the Court will be that neither the plaintiff nor the defendant is entitled to a copyright, and the bill and the answer will both be dismissed for want of equity."
14,Silvio Hein,Maria Cahill's Arab Love Song,complaining_work: Maria Cahill's Arab Love Song,Joseph Howard,I Think I Hear a Woodpecker,defending_work: I Think I Hear a Woodpecker,"complaining_work: Maria Cahill's Arab Love Song, defending_work: I Think I Hear a Woodpecker",False,,False,
