valid,link,case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,pair_evidence,is_melodic_comparison,melodic_evidence,was_case_won,case_won_evidence
1,https://blogs.law.gwu.edu/mcir/case/ferrett-v-atwill/,2,Michael Balfe,The Bohemian Girl,"opera The Bohemian Girl, by Irish composer Michael Balfe",Francis Brown,Alethia Waltz,"""Alethia Waltz"" was derived from Balfe's aria ""'Twere Vain to Tell Thee all I Feel""",Atwillas score notes that the aAlethia Waltza was derived from Balfeas aria aaTwere Vain to Tell Thee all I Feela,TRUE,given the simplicity of the aAlethia Waltza and its complete dependence upon Balfeas melody,TRUE,His claim against Ferrett ultimately succeeded because the court accepted Atwillas claim that he participated substantially in the creation of Brownas musical arrangement.
1,https://blogs.law.gwu.edu/mcir/case/blume-v-spear/,4,Fannie Beane,My Own Sweet Darling,infringement by the publication and sale of a song with music entitled aCall Me Back Again.a,W.D. Hendrickson,Call Me Back Again,"The Court correctly observes that the music of defendantas aCall Me Back Againa maps closely that of plaintiffas aMy Own Sweet Darling"".",The theme or melody of the music is substantially the same in the copyrighted and the alleged infringing pieces.,TRUE,The theme or melody of the music is substantially the same in the copyrighted and the alleged infringing pieces.,TRUE,"Let there be a decree making the preliminary injunction permanent, and for an account of profits, with costs."
1,https://blogs.law.gwu.edu/mcir/case/kennedy-v-mctammanay/,5,Harry Kennedy,"Cradle's Empty, Baby's Gone","an unauthorized roll of KennedyAAAs 1880 sentimental song, AAACradleAAAs Empty, BabyAAAs Gone.",John McTammany,"Cradle's Empty, Baby's Gone",creating an unauthorized roll of KennedyAAAs 1880 sentimental song,McTammany had committed copyright infringement by recording another roll of the same song.,FALSE,McTammany claimed that a piano roll did not constitute a copy of KennedyAAAs copyrighted sheet music.,FALSE,unfavorable decision that a piano roll did not constitute a copy and therefore no infringement could have occurred
1,https://blogs.law.gwu.edu/mcir/case/broder-v-zeno-mauvais-music-co/,6,Bert A. Williams,Dora Dean,"aDora Dean,a alleged to have been composed by Bert A. Williams",Charles Sidney O'Brien,Ma Angeline,"aMa Angeline,a alleged to have been composed by Charles Sidney OaBrien",It is conceded that the melody of the two songs is substantially the same.,TRUE,the melody of the two songs is substantially the same,FALSE,yet they are not entitled to a copyright of the song with the objectionable word in the composition.
1,https://blogs.law.gwu.edu/mcir/case/white-smith-music-publishing-company-v-apollo-company/,8,Adam Geibel,Kentucky Babe,The two musical compositions in dispute aKentucky Babea and aLittle Cotton Dollya had originally been published as sheet music.,Adam Geibel,Little Cotton Dolly,The two musical compositions in dispute aKentucky Babea and aLittle Cotton Dollya had originally been published as sheet music.,"The appellant, as assignee of Adam Geibel, alleged compliance with the copyright act.",TRUE,The testimony discloses that certain of these rolls...reproduce in sound the melody recorded in the two pieces of music copyrighted.,FALSE,The decrees of the Circuit Court of Appeals are Affirmed.
1,https://blogs.law.gwu.edu/mcir/case/booseyempire/,10,Charles Marshall,I Hear You Calling Me,complaining_work: I Hear You Calling Me,Jeff Godfrey,"Tennessee, I Hear You Calling Me","defending_work: Tennessee, I Hear You Calling Me",,TRUE,'a brief but evocative melodic figure sung to the words I hear you calling me,TRUE,"The motion will be granted, but injunction will be suspended, provided defendant files in the office of the cler"
1,https://blogs.law.gwu.edu/mcir/case/haas-v-leo-feist/,11,William Cahalin,You Will Never Know How Much I Really Cared,the leading theme of the plaintiffas song is repeated literally from a chorus of Pinafore,Al Piantadosi,I Didn't Raise My Boy to be a Soldier,defendantas song enjoyed widespread popularity,Judge Learned Hand drew lines connecting identical pitches occurring at the same points in the two tunes.,TRUE,parallelism which seemed to [his] ear to pass the bounds of mere accident,TRUE,a decree for an accounting of profits will go against both defendants
1,https://blogs.law.gwu.edu/mcir/case/hein-v-harris/,14,Silvio Hein,Maria Cahill's Arab Love Song,complaining_work: Maria Cahill's Arab Love Song,Joseph Howard,I Think I Hear a Woodpecker,defending_work: I Think I Hear a Woodpecker,"complaining_work: Maria Cahill's Arab Love Song, defending_work: I Think I Hear a Woodpecker",TRUE,The melodies concluded that the defendant must have copied the plaintiffs work,TRUE,"Let a writ go pendente lite forbidding the defendant from publishing the chorus of his song, I Think I Hear a Woodpecker Knocking on My Family Tree."
1,https://blogs.law.gwu.edu/mcir/case/marks-v-leo-feist-inc/,15,Paul Linke,Wedding Dance Waltz,appellant's copyrighted 'Wedding Dance Waltz.',H. Pitman Clarke,Swanee River Moon,"Appellee puts out a song entitled 'Swanee River Moon,'","appellant instituted this suit, declaring that the appellee's composition infringed upon the appellant's copyrighted 'Wedding Dance Waltz.'",TRUE,The essence of the plaintiffas melody is a descending sequence of thirds arrived at by an ascending interval of a sixth.,FALSE,There was no similarity which constitutes an actionable infringement.
1,https://blogs.law.gwu.edu/mcir/case/fred-fisher-inc-v-dillingham/,16,Felix Bernard & Johnny Black,Dardanella,"Plaintiff Fred Fisher, owner of the copyright to aDardanellaa a a song popular in the early 1920as",Jerome Kern,Ka-lu-a,Jerome Kern misappropriated the accompaniment pattern of aDardanellaa and used it in his song aKa-lu-aa.,"Not only is the figure in each piece exactly alike, but it is used in the same way; that is, as an aostinatoa accompaniment",TRUE,Kern misappropriated the accompaniment pattern of aDardanellaa.,TRUE,I find with the plaintiff on the issue of infringement.
