case_id,year,case_name,case_artist,case_title,case_role,gpt_artist,gpt_title,gpt_conf
0,1844,Millett v. Snowden,W.J. Wetmore,The Cot Beneath the Hill,complainer,Henry Russell,The Cot Beneath the Hill,0.7
1,1845,Reed v. Carusi,Henry Russell,The Old Arm Chair,complainer,Henry Russell,The Old Arm Chair,0.95
2,1846,Ferrett v. Atwill,"Michael Balfe, arranged by Francis Brown","""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""",complainer,Michael Balfe,The Bohemian Girl,0.85
3,1850,Jollie v. Jacques,Anonymous,Serious Family Polka,complainer,Gottlieb Muffat,Serious Family Polka,0.3
4,1887,Blume v. Spear,Fannie Beane,My Own Sweet Darling,complainer,Fannie Beane,My Own Sweet Darling,0.7
5,1888,Kennedy v. McTammanay,Harry Kennedy,Cradle’s Empty Baby’s Gone,complainer,Harry Kennedy,"Cradle's Empty, Baby's Gone",0.8
6,1898,Broder v. Zeno Mauvais Music Co.,Bert A. Williams,Dora Dean,complainer,Bert Williams,Dora Dean,0.9
7,1899,Boosey v. Whight,"Alice M. Davis (""Hope Temple"") and Frederick Wetherley","""My Lady's Bower""",complainer,Hope Temple,My Lady's Bower,0.85
8,1907,White-Smith Music v. Apollo Company,Adam Geibel,Kentucky Babe,complainer,Adam Geibel,Kentucky Babe,0.8
9,1914,Cooper v. James,W.M.Cooper,Never Turn Back,complainer,W.M. Cooper,Never Turn Back,0.8
10,1915,Boosey v. Empire Music,Charles Marshall,I Hear You Calling Me,complainer,John McCormack,I Hear You Calling Me,0.95
11,1916,Haas v. Leo Feist,William Cahalin,You Will Never Know ...,complainer,Albert Von Tilzer,You Will Never Know,0.75
12,1917,Hart v. Graham,"Alcide Nunez, Ray Lopez",Livery Stable Blues,complainer,Original Dixieland Jass Band,Livery Stable Blues,0.8
13,1923,Austin v. Columbia Gramophone Co.,John Gay,"Themes from opera ""Polly""",complainer,John Gay,Polly,0.8
14,1923,Hein v. Harris,Silvio Hein,Maria Cahill's Arab Love Song,complainer,Silvio Hein,Arab Love Song,0.6
15,1923,"Marks v. Leo Feist, Inc.",Paul Linke,Wedding Dance Waltzes,complainer,Paul Lincke,Wedding Dance Waltzes,0.8
16,1924,"Fred Fisher, Inc. v. Dillingham",Felix Bernard & Johnny Black,Dardanella,complainer,Bennie Krueger and His Orchestra,Dardanella,0.8
17,1928,Italian Book Company v. Rossi,Paolo Citorello,Luna Mezzo Mare,complainer,Paolo Citorello,Luna Mezzo Mare,0.95
18,1932,Gotham Music v. Denton Music Publishing,Anonymous,St. James' Infirmary,complainer,Louis Armstrong,St. James Infirmary,0.85
19,1933,Arnstein v. Shilkret,Ira Arnstein,Light My Life With Love,complainer,Unknown Artist,Light My Life With Love,0.5
20,1934,Park v. Warner Brothers,Charles Francis Park,What are Your Intentions?,complainer,Paul Whiteman and His Orchestra,What are Your Intentions?,0.75
21,1935,Wilkie v. Santly Brothers,W.A. (Bud) Wilkie,Confessing,complainer,Rudy Vallée,Confessin' (That I Love You),0.8
22,1936,Arnstein v. Edward Marks,Ira Arnstein,I Love You Madly,complainer,Ira Arnstein,I Love You Madly,0.7
23,1936,Norden v. Oliver Ditson,N. Lindsay Norden (arranger),O Gladsome Light,complainer,Traditional,O Gladsome Light,0.8
24,1937,Hirsch v. Paramount Pictures,Hortense Hirsch,Lady of Love,complainer,Paramount Pictures,Lady of Love,0.4
25,1939,Arnstein v. ASCAP,Ira Arnstein,Whisper to Me,complainer,Ira Arnstein,Whisper to Me,0.8
26,1940,Darrell v. Joe Morris Music,Jack Darrell,Does Anybody Want a Little Kewpie,complainer,Benny Goodman,Does Anybody Want a Little Kewpie,0.5
27,1940,Davilla v. Harms,Joseph Davila,If I were a Spider...,complainer,Joseph Davilla,If I Were a Spider,0.7
28,1941,Allen v. Walt Disney,Wadsworth Doster,Old Eli,complainer,Wadsworth Doster,Old Eli,0.7
29,1941,Marks v. Stasny,Silvano D. Ramos,Allà en el Rancho Grande,complainer,Jorge Negrete,Allá en el Rancho Grande,0.85
30,1942,Carew v. R.K.O. Radio Pictures,Evelyn Carew,Chatterbox,complainer,Evelyn Carew,Chatterbox,0.8
31,1942,McMahon v. Harms,Joseph McMahon,In Sunny Kansas,complainer,Joseph McMahon,In Sunny Kansas,0.8
32,1943,Arnstein v. Broadcast Music,Ira Arnstein,Whisper to Me,complainer,Frank Sinatra,A Sinner Kissed an Angel,0.6
33,1943,Arnstein v. Twentieth Century Fox,Ira Arnstein,Kalamazoo,complainer,Glenn Miller and His Orchestra,I've Got a Gal in Kalamazoo,0.8
34,1944,"Gingg v. Twentieth Century Fox Film Corp, et al.",Allamae Britton Gingg,There'll Never Be Another You,complainer,Harry Warren and Mack Gordon,There Will Never Be Another You,0.85
35,1944,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,Edward B. Marks,December and May,complainer,Edward B. Marks Music Corporation,December and May,0.8
36,1945,Brodsky v. Universal Pictures Company,Samuel Brodsky,Prelude in A Major,complainer,Chopin,"Prelude in A Major, Op. 28, No. 7",0.7
37,1945,Jewel Music v. Leo Feist,Louis Ricca,Carnival in Cotton Town,complainer,Louis Ricca,Carnival in Cotton Town,0.8
38,1946,Arnstein v. Porter,Ira Arnstein,Modern Messiah,complainer,Ira Arnstein,Modern Messiah,0.7
39,1946,Heim v. Universal Pictures,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,complainer,Zsigmond Vincze,Ma Este Meg Boldog Vagyok,0.85
40,1948,Baron v. Leo Feist,Lionel Belasco and Massie Patterson,L'Annee Passee,complainer,Lionel Belasco,L'Annee Passee,0.9
41,1948,Kahn v. Leo Feist,Mohammed H. Kahn,Victory Calypsoes,complainer,Lord Invader,Rum and Coca-Cola,0.8
42,1950,"Shapiro, Bernstein v. Miracle Record",Meade Lewis,Yancey Special,complainer,Meade Lux Lewis,Yancey Special,0.95
43,1951,Jones v. Supreme Music,Thelma Jones,Just an Old Fashioned Mother and Dad,complainer,Thelma Jones,Just an Old Fashioned Mother and Dad,0.7
44,1952,Northern Music v. King Record Distribution,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,complainer,Jerry Vale,Tonight He Sailed Again,0.7
45,1953,Overman v. Loesser,Robert Overman,Wonderful You,complainer,Frank Loesser,Wonderful You,0.5
46,1954,Robbins v. Alamo,Walter Schumann,"Theme for TV show ""Dragnet""",complainer,Walter Schumann,Dragnet,0.95
47,1954,Mills Music v. Cromwell Music,Issachar Miron & Julius Grossman,"Tzena, Tzena",complainer,The Weavers,"Tzena, Tzena, Tzena",0.9
48,1956,Robertson v. Batten,Donald Irwin Robertson,The Happy Whistler,complainer,Don Robertson,The Happy Whistler,0.95
49,1956,Smith v. Muehlebach Brewing,Leonard Smith,Proposed Advertising Jingle for Muehlebach Beer,complainer,Not applicable,Proposed Advertising Jingle for Muehlebach Beer,0.3
50,1956,Wihtol v. Wells,I.B. Sergei (Wihtol),My God and I,complainer,I.B. Sergei,My God and I,0.9
51,1958,Cholvin v. B & F Music,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,complainer,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,0.7
52,1959,Dorchester Music v. National Broadcasting Company,Fred Spielman,Rendezvous,complainer,Fred Spielman,Rendezvous,0.7
53,1960,Walters v. Shari Music Publishing,Lionel Walters,Iron Bar,complainer,Laurel Aitken,Iron Bar,0.8
54,1963,Francis Day & Hunter v. Bron,Mabel Wayne,In a Little Spanish Town,complainer,Paul Whiteman and His Ambassador Orchestra,In a Little Spanish Town,0.85
55,1964,Irving Berlin et al. v. E.C. Publications,Irving Berlin,A Pretty Girl is Like a Melody,complainer,Irving Berlin,A Pretty Girl Is Like a Melody,0.95
56,1964,"Nom Music, Inc. V. Kaslin",James Sheppard and William Miller,A Thousand Miles Away,complainer,The Heartbeats,A Thousand Miles Away,0.95
57,1965,Life Music v. Broadcast Music,Patricia Smith and Don Fenton,SUPERCALAFAJALISTICK ESPEEALADOJUS,complainer,Richard M. Sherman and Robert B. Sherman,Supercalifragilisticexpialidocious,0.85
58,1965,Nordstrom v. R.C.A.,Frank Nordstrom,Mizpah or Shalom,complainer,The Tokens,The Lion Sleeps Tonight,0.6
59,1967,Packson v. Jobete,"Lorenzo Pack, Harper Evans",I'm Afraid,complainer,Marvin Gaye,Ain't That Peculiar,0.8
60,1967,In re Geman Collecting Society GEMA,GEMA / Franz Josef Breuer,Schwarzbraun ist die Haselnuss,complainer,Heino,Schwarzbraun ist die Haselnuss,0.8
61,1969,Leo Feist v. Apollo Records,Gus Kahn et al.,"Toot, Toot, Tootsie",complainer,Al Jolson,"Toot, Toot, Tootsie (Goo' Bye)",0.95
62,1970,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,Wilhelm Kienzl,O schöne Jugendtage,complainer,Wilhelm Kienzl,O schöne Jugendtage,0.9
63,1973,Strachborneo v. Arc Music,Ruth Stratchborneo,MOJO Workout,complainer,Ruth Stratchborneo,Mojo Workout,0.8
64,1975,Mood Music v. De Wolfe,Armando Sciascia,Sogno Nostalgico,complainer,Armando Sciascia,Sogno Nostalgico,0.85
65,1976,Bright Tunes Music v. Harrisongs Music,Ronald Mack,He's So Fine,complainer,The Chiffons,He's So Fine,0.99
66,1976,Granite Music v. United Artists,Leon Pober,Tiny Bubbles,complainer,Don Ho,Tiny Bubbles,0.95
67,1976,MCA Music v. Earl Wilson,Don Raye and Hughie Prince,Boogie Woogie Bugle Boy,complainer,The Andrews Sisters,Boogie Woogie Bugle Boy,0.95
68,1978,Ferguson v. National Broadcasting Company,Wilma Ferguson,Jeannie Michele,complainer,Stevie Wonder,Isn't She Lovely,0.8
69,1978,Herald Square Music v. Living Music,Stephen Schwartz,Day by Day,complainer,Godspell Cast,Day by Day,0.85
70,1978,Plymouth Music Co. v. Magnus Organ Corp.,Anonymous,Holiday Polka,complainer,Bobby Vinton,Holiday Polka,0.8
71,1978,Harry v. Suzuki,Harry Warren,The Boulevard of Broken Dreams,complainer,Tony Bennett,Boulevard of Broken Dreams,0.7
72,1980,Elsmere Music v. N.B.C.,Steve Karman,I Love New York (advertising jingle),complainer,Steve Karmen,I Love New York,0.95
73,1980,Hanseatic Musikverlag v. Bellver Musikverlag,Pantelis Ghinnis,Dirlada,complainer,Dionysis Savvopoulos,Dirlada,0.8
74,1980,Testa v. Janssen,Philip J. Lipari,Kept on Singing,complainer,Climax,Life and Breath,0.7
75,1982,Gondos v. Hardy,Ivan Gondos,Variations,complainer,Andrew Lloyd Webber,Variations,0.8
76,1984,Selle v. Gibb,Ronald Selle,Let It End,complainer,Bee Gees,How Deep Is Your Love,0.95
77,1984,Pendleton v. Acuff-Rose,Howard Leslie Pendleton,Just a Blue Box,complainer,Roy Acuff and his Smoky Mountain Boys,Wabash Cannonball,0.7
78,1985,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",Isaac Hayes,The Theme From Shaft,complainer,Isaac Hayes,Theme from Shaft,0.95
79,1985,Lawson v. Dundas,David Lawson,Channel 4 Jingle,complainer,David Dundas,Channel 4 Theme,0.8
80,1985,Dixon v. Atlantic Recording Corp.,William Dixon,I Need Love,complainer,LL Cool J,I Need Love,0.8
81,1986,Anheuser Busch v. Elsmere Music,Steve Karmen,Budweiser Beer Commercial (1970s),complainer,Steve Karmen,Here Comes the King,0.95
82,1986,Benson v. Coca-Cola,John Benson,Don't Cha Know,complainer,Michael Jackson,Wanna Be Startin' Somethin',0.7
83,1986,Fisher v. Dees,Marvin Fisher and Jack Segal,When Sunny Gets Blue,complainer,Johnny Mathis,When Sunny Gets Blue,0.95
84,1987,Baxter v. MCA,Leslie Baxter,Joy,complainer,Les Baxter,Joy,0.85
85,1987,Siskind v. Newton-John,Laura Siskind,Take a Chance on Love,complainer,Olivia Newton-John,Take a Chance,0.8
86,1987,Verge v. Imperial Oil Ltd.,Cyril Verge,It's a Brand New World,complainer,Cyril Verge,It's a Brand New World,0.8
87,1987,Warner Bros. v. Dundas,Tom Waits,Martha,complainer,Tom Waits,Martha,0.95
